________________________________________________________________________________________________________________________ Exportar ==>;;;;;;;;;
;;;;;;;;;
Año;Cod. Ubigeo;Departamento;Provincia;Distrito;Cod CIIU (Rev 3);Sector;Sub Sector;Actividad Económica;Cant. Contrib
2025;150101;LIMA;LIMA;LIMA;2411;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE SUSTANCIAS QUIMICAS BASICAS, EXCEPTO ABONOS Y COMPUESTOS DE NITROGENO;26
2025;150101;LIMA;LIMA;LIMA;2412;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE ABONO Y COMPUESTOS DE NITROGENO;17
2025;150101;LIMA;LIMA;LIMA;2413;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PLASTICOS EN FORMAS PRIMARIAS Y DE CAUCHO SINTETICO;29
2025;150101;LIMA;LIMA;LIMA;2421;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PLAGUICIDAS Y OTROS PRODUCTOS QUIMICOS DE USO AGROPECUARIO;9
2025;150101;LIMA;LIMA;LIMA;2422;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PINTURAS, BARNICES Y PRODUCTOS DE REVESTIMIENTO SIMILARES, TINTAS DE IMPRENTA Y MASILLAS;10
2025;150101;LIMA;LIMA;LIMA;2423;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS QUIMICAS MEDICINALES Y PRODUCTOS BOTANICOS;30
2025;150101;LIMA;LIMA;LIMA;2424;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE JABONES Y DETERGENTES, PREPARADOS PARA LIMPIAR Y PULIR, PERFUMES Y PREPARADOS DE TOCADOR;37
2025;150101;LIMA;LIMA;LIMA;2429;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE OTROS PRODUCTOS QUIMICOS N.C.P.;37
2025;150101;LIMA;LIMA;LIMA;2430;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE FIBRAS MANUFACTURADAS;1
2025;150101;LIMA;LIMA;LIMA;2511;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;"FAB. DE CUBIERTAS Y CAMARAS DE CAUCHO; RECAUCHADO Y RENOVACION DE CUBIERTAS DE CAUCHO";3
2025;150101;LIMA;LIMA;LIMA;2519;D.- MANUFACTURA;INDUSTRIA NO PRIMARIA;FAB. DE OTROS PRODUCTOS DE CAUCHO;20
